STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BOL,Bolivia,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,11.51,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,207.79,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRB,Barbados,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,0.36,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRN,Brunei Darussalam,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,1.19,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BTN,Bhutan,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,0.4,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BWA,Botswana,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,2.22,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAF,Central African Republic,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,0.23,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,162.04,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHE,Switzerland,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,15.02,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,WRI_CLIMATEWATCH_ALL_GHG_TRANSPORT,Greenhouse gas (GHG) emissions caused by the transportation sector,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E,Tonnes of CO2-equivalent,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,28.47,WRI_CLIMATEWATCH,Climate Watch,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
