iso3,country,year,agricultural_land_ha,co2_fossil_industry_t,co2_landuse_change_t,agricultural_land_pct,forest_land_pct,pesticide_use_per_cropland_kg_ha,transport_ghg_emissions_mtco2e,total_species_count,endemic_species_small_range,species_high_extinction_risk,pct_households_irrigation,pct_households_fertilizer,freshwater_resources_per_capita,hazardous_waste_generated_kt,so2_emissions_per_capita,nox_emissions_per_capita,climatological_disasters_count
CHL,Chile,2023,10697537.0,,,14.4010249751882,25.0116461113584,9.23,28.47,11566.0,951.0,825.0,,,,,19.632372757346783,16.140854017928596,8.0
CHN,China,2023,520413000.0,,,55.4326117545304,24.0319389958256,1.71,996.35,48825.0,2536.0,2084.0,,,,72818100.0,,,10.0
COL,Colombia,2023,40483000.0,,,36.4876070301938,52.7661596214511,3.89,35.68,47834.0,2436.0,2034.0,,,,,3.3941714879280336,7.890730365631885,2.0
COM,Comoros,2023,133000.0,,,71.4669532509404,16.9801182160129,0.34,0.23,5052.0,47.0,56.0,,0.898587933247754,,,0.2470697345106636,1.1468460810868115,
COG,Congo,2023,10651400.0,,,31.1900439238653,64.1317715959004,4.38,1.24,8101.0,46.0,50.0,,,,,,3.6022887243712813,
CRI,Costa Rica,2023,1692332.6,,,33.1439992166079,60.3991382687035,17.36,5.84,37811.0,3621.0,2937.0,,,22187.56912941633,,1.1417564828815392,5.926540094132525,2.0
CIV,Cote d'Ivoire,2023,27499310.0,,,86.4758163522013,7.85551603773585,0.0,5.16,7877.0,58.0,84.0,9.23141407626125,26.070899469128,,,247.92672713991053,16.786732950621104,
HRV,Croatia,2023,1486000.0,,,26.554681915654,34.785739814153,1.29,6.32,27472.0,67.0,351.0,,,26534.15648600743,186956.0,1.4279836788593585,0.4609644284278394,1.0
CUB,Cuba,2023,6401000.0,,,61.6666666666667,31.233140655106,0.22,1.2,16331.0,860.0,720.0,,,5902.504176861708,235498.0,55.58291748752463,7.484153096021452,1.0
CYP,Cyprus,2023,128996.305,,,13.9606385281385,18.6655844155844,6.5,1.96,6827.0,76.0,104.0,,,398.8072492812292,32303.0,7.972827991645958,9.668054489911496,1.0
CZE,Czechia,2023,3534414.0,,,45.8019594048309,34.7623883740408,1.78,19.35,36133.0,8.0,525.0,,,1041.3301708928432,1759507.0,6.553584089315327,13.409646219737986,
COD,Democratic Republic of Congo,2023,35095664.0,,,15.480763018019,54.1898572594341,0.1,2.33,13566.0,266.0,306.0,23.049977044123,,,,0.0004245758964442,14.580680592381425,2.0
DNK,Denmark,2023,2621000.0,,,65.525,15.7815,1.38,11.52,44125.0,90.0,775.0,,,,1369108.0,1.631030882282488,16.002811700378714,
DJI,Djibouti,2023,1703900.0,,,73.5073339085419,0.260724762726488,34.16,0.11,2715.0,5.0,22.0,31.4491839612816,6.47847102216412,,,,2.633837989698767,1.0
DMA,Dominica,2023,25000.0,,,33.3333333333333,63.8266666666667,,0.05,7481.0,33.0,257.0,,,,768.0,3.086638254491908,8.920101377660101,
DOM,Dominican Republic,2023,2667909.0,,,55.3530808941944,44.9887775472934,1.31,8.22,11302.0,408.0,540.0,,,,,0.1121440373975107,0.7557093691291712,1.0
TLS,East Timor,2023,341400.0,,,22.9589778076664,61.6610625420309,0.79,0.32,6381.0,10.0,58.0,,,,,0.3604931907342435,1.640244017840808,1.0
ECU,Ecuador,2023,5350000.0,,,21.5413110001611,49.5450958286359,14.62,19.64,32315.0,1822.0,1445.0,,,11757.860495922465,14928.1029,13265.183905053207,14.819214999206094,3.0
EGY,Egypt,2023,4058000.0,,,4.07654829474107,0.0451855944547692,2.87,56.41,6415.0,38.0,99.0,,,614.4356750699291,,1.9391295772329424,5.2886796568001495,
SLV,El Salvador,2023,1195700.0,,,57.707528957529,27.5279922779923,3.16,4.04,15996.0,23.0,212.0,,,2539.2247169193697,1428520.0,,6.521677348316063,2.0
GNQ,Equatorial Guinea,2023,104720.0,,,3.73333333333333,86.3935828877005,0.78,0.45,8610.0,17.0,63.0,,,,,,,
ERI,Eritrea,2023,7592000.0,,,62.6515330315189,8.63010013352237,0.04,0.23,3360.0,0.0,31.0,,,,,,1.4737085965254078,1.0
EST,Estonia,2023,988000.0,,,23.1219283875497,57.0652937046572,0.99,2.45,29633.0,61.0,602.0,,,15706.269155711656,1592190.0,12.197754055886104,22.948032358576203,
SWZ,Eswatini,2023,1195000.0,,,69.4767441860465,29.1389534883721,6.21,0.79,10512.0,20.0,100.0,,,,,2.1749142264070285,21.90372203406264,2.0
ETH,Ethiopia,2023,38456932.0,,,34.0779564851996,14.9308975782695,0.22,7.31,6521.0,144.0,101.0,8.55998617903885,69.3714898568545,,,0.0916100796227597,0.5497889035717185,3.0
FJI,Fiji,2023,311600.0,,,17.0552818828681,63.4953475643131,4.42,0.54,4418.0,278.0,79.0,,,,14.937,0.0391845947072061,14.048790507957314,1.0
FIN,Finland,2023,2262000.0,,,7.44176865377023,73.7235162521384,1.45,10.26,37089.0,276.0,1001.0,,,20748.680578414325,3272912.0,4.311805489832249,17.605072816645436,
FRA,France,2023,28297244.0,,,52.5043974394656,32.4764820484275,3.65,122.05,88726.0,3500.0,3699.0,,,3676.477644288136,11240840.0,1.9044806653630904,12.457591585886744,3.0
GUF,French Guiana,2023,42004.0,,,,,,,,,,,,,2281.0,,,
GAB,Gabon,2023,2153236.0,,,8.35656459812939,91.1823650405558,1.93,0.18,9364.0,200.0,145.0,,,,,6.2300893006542,6.124494566744807,
GMB,Gambia,2023,634000.0,,,62.6482213438735,22.2792391304348,1.24,0.08,3704.0,13.0,25.0,9.47491142539048,47.8093478868473,7007.818250700894,,2300.9202342248814,2.9156687217501904,1.0
GEO,Georgia,2023,2371900.0,,,34.1329687724852,40.6159159591308,6.8,4.27,10234.0,62.0,146.0,,,10175.587756912611,,4.931609709225929,14.51908320845225,1.0
DEU,Germany,2023,16586000.0,,,47.4658729931603,32.6789342643734,3.41,151.33,56172.0,300.0,1217.0,,,1393.0925443046438,23415024.0,3.0495218853938924,11.57961758603298,
GHA,Ghana,2023,12603740.0,,,55.393019913595,35.1921958573042,1.31,10.34,8483.0,57.0,118.0,7.89214074317659,31.7329825715225,,,0.0259351569206669,2.596627910897175,
GRC,Greece,2023,5372038.5,,,41.6760178432894,30.2699767261443,1.46,16.37,20056.0,713.0,495.0,,,,552386.0,7.100532794098552,19.93577333325836,5.0
GRL,Greenland,2023,243110.0,,,0.592301132902911,0.0005359970763795,,,2827.0,42.0,78.0,,,,,,,
GRD,Grenada,2023,8000.0,,,23.5294117647059,52.0588235294118,18.46,0.1,7407.0,6.0,138.0,,,,,,,1.0
GTM,Guatemala,2023,4612000.0,,,43.0384471817842,32.5961179544606,4.74,10.54,23068.0,174.0,484.0,,,,15563.6298828125,3.992660980871452,7.095815616765632,2.0
GIN,Guinea,2023,17993890.0,,,73.2292487384014,24.6988442129253,0.02,2.4,6803.0,72.0,86.0,7.39485839732484,14.9109669486663,,,0.0617840202939676,2.5483163819732098,1.0
GNB,Guinea-Bissau,2023,840530.5,,,29.8908428165007,69.5124466571835,0.13,0.11,3814.0,6.0,17.0,9.18809287015386,7.2668295231968,,,,4.537625009640847,1.0
GUY,Guyana,2023,720000.0,,,3.41005967604433,87.0878369802027,3.63,1.04,15296.0,205.0,343.0,,,,,9.252591731401283,20.11432985087236,1.0
HTI,Haiti,2023,1795000.0,,,65.1306240928882,12.2630624092888,0.86,1.43,10357.0,62.0,332.0,,,,,1.5884527207224068,1.7182894305899967,2.0
HND,Honduras,2023,3576000.0,,,31.9599606756636,56.2732147645008,5.99,4.72,22423.0,164.0,417.0,,,,,0.0582439480322971,5.091747246402401,4.0
HUN,Hungary,2023,5083046.0,,,55.6985097523559,22.4484341442034,1.5,13.98,26682.0,18.0,319.0,,,10690.492613075496,575967.0,1.4351673403680454,11.20680693286853,1.0
ISL,Iceland,2023,1638000.0,,,16.2451651294258,0.528744421303184,0.01,0.9,3369.0,18.0,72.0,,,535323.44061937,41459.0,164.08089650805695,52.50212186067894,
IND,India,2023,178571000.0,,,60.0604064994165,24.5390304689576,0.24,302.98,20793.0,966.0,724.0,,,,8639229.0,,,7.0
IDN,Indonesia,2023,55122204.0,,,29.1258057551148,47.7220336902463,6.68,140.72,27489.0,1366.0,813.0,,,,,,0.4003048084488776,4.0
IRN,Iran,2023,47067000.0,,,29.008936825886,6.64923611710324,0.33,138.19,9191.0,197.0,178.0,,,,,2.1251109569960245,9.154661713108208,1.0
IRQ,Iraq,2023,9477400.0,,,21.8307880128072,1.90035242899592,0.1,34.39,4157.0,12.0,42.0,,,1043.774088945705,21677.0,182.32634138944613,,1.0
IRL,Ireland,2023,4189000.0,,,60.8070837567136,11.5259108724053,5.16,10.88,23758.0,35.0,380.0,,,11561.638900498763,886987.0,2.3638409689518283,20.03110313868077,
